Latency_us,CumulativeProbability,Metric
3208,0.95412844,append_submit_to_ack_batch_latency
3209,0.95596330,append_submit_to_ack_batch_latency
3211,0.95779817,append_submit_to_ack_batch_latency
3211,0.95963303,append_submit_to_ack_batch_latency
3215,0.96146789,append_submit_to_ack_batch_latency
3215,0.96330275,append_submit_to_ack_batch_latency
3215,0.96513761,append_submit_to_ack_batch_latency
3216,0.96697248,append_submit_to_ack_batch_latency
3217,0.96880734,append_submit_to_ack_batch_latency
3221,0.97064220,append_submit_to_ack_batch_latency
3223,0.97247706,append_submit_to_ack_batch_latency
3231,0.97431193,append_submit_to_ack_batch_latency
3239,0.97614679,append_submit_to_ack_batch_latency
3268,0.97798165,append_submit_to_ack_batch_latency
3272,0.97981651,append_submit_to_ack_batch_latency
3274,0.98165138,append_submit_to_ack_batch_latency
3276,0.98348624,append_submit_to_ack_batch_latency
3289,0.98532110,append_submit_to_ack_batch_latency
3290,0.98715596,append_submit_to_ack_batch_latency
3332,0.98899083,append_submit_to_ack_batch_latency
3333,0.99082569,append_submit_to_ack_batch_latency
3345,0.99266055,append_submit_to_ack_batch_latency
3536,0.99449541,append_submit_to_ack_batch_latency
3543,0.99633028,append_submit_to_ack_batch_latency
3624,0.99816514,append_submit_to_ack_batch_latency
3736,1.00000000,append_submit_to_ack_batch_latency
96,0.00183486,append_send_to_ack_batch_latency
107,0.00366972,append_send_to_ack_batch_latency
111,0.00550459,append_send_to_ack_batch_latency
114,0.00733945,append_send_to_ack_batch_latency
114,0.00917431,append_send_to_ack_batch_latency
117,0.01100917,append_send_to_ack_batch_latency
119,0.01284404,append_send_to_ack_batch_latency
120,0.01467890,append_send_to_ack_batch_latency
125,0.01651376,append_send_to_ack_batch_latency
126,0.01834862,append_send_to_ack_batch_latency
133,0.02018349,append_send_to_ack_batch_latency
133,0.02201835,append_send_to_ack_batch_latency
