Timestamp(ms),Broker_0_GBps,Broker_1_GBps,Broker_2_GBps,Broker_3_GBps,Total_GBps
6652,2.29836,2.29836,0,2.32773,6.92444
6658,2.79236,2.66609,0,2.82059,8.27904
6663,2.40173,2.48222,0,2.3262,7.21016
6668,2.66094,2.66609,0,2.73018,8.05721
6673,2.4416,2.39086,0,2.48222,7.31468
6678,2.57416,2.57359,0,2.55814,7.70588
6683,2.58579,2.57416,0,2.59018,7.75013
6688,2.56138,2.57416,0,2.60868,7.74422
6693,2.48337,2.66609,0,2.4477,7.59716
6698,2.29893,2.28901,0,2.39029,6.97823
6703,2.61421,2.49157,0,2.57416,7.67994
6708,2.48241,2.48222,0,2.36378,7.32841
6713,2.47593,2.41337,0,2.4168,7.3061
6719,2.53963,2.55108,0,2.57416,7.66487
6724,2.29836,2.35252,0,2.30999,6.96087
6729,2.57416,2.61269,0,2.65446,7.8413
6734,2.48222,2.38991,0,2.48222,7.35435
6739,2.66609,2.7504,0,2.62012,8.03661
6744,2.48222,2.39754,0,2.38571,7.26547
6749,2.39029,2.48222,0,2.53277,7.40528
6754,2.75803,2.65903,0,2.57416,7.99122
6759,2.29836,2.39735,0,2.48222,7.17793
6764,2.67773,2.61345,0,2.67773,7.9689
6769,2.37865,2.50797,0,2.37865,7.26528
6774,2.66609,2.50912,0,2.57416,7.74937
6780,2.29836,2.39029,0,2.48222,7.17087
6785,2.57416,2.48222,0,2.49386,7.55024
6790,2.6001,2.66609,0,2.56252,7.82871
6795,2.45628,2.48222,0,2.39029,7.3288
6800,2.60868,2.57416,0,2.66609,7.84893
6805,2.50053,2.40498,0,2.39029,7.2958
6810,2.61326,2.69508,0,2.7277,8.03604
6815,2.57416,2.47307,0,2.42062,7.46784
6820,2.30999,2.35577,0,2.49386,7.15961
6825,2.68402,2.66609,0,2.62604,7.97615
6830,2.36073,2.35519,0,2.32677,7.04269
6835,2.6432,2.71282,0,2.66609,8.02212
6841,2.22931,2.37865,0,2.39029,6.99825
6846,2.58579,2.4147,0,2.53372,7.53422
6851,2.56252,2.54974,0,2.45132,7.56359
6856,2.48222,2.47631,0,2.46162,7.42016
6861,2.58007,2.672,0,2.57416,7.82623
6866,2.46429,2.29836,0,2.37236,7.13501
6871,2.6432,2.66609,0,2.68402,7.99332
6876,2.33326,2.48222,0,2.48222,7.29771
6881,2.56271,2.48222,0,2.35863,7.40356
6886,2.49367,2.55337,0,2.60582,7.65285
6891,2.43492,2.35386,0,2.48222,7.271
6896,2.72503,2.77596,0,2.57416,8.07514
6902,2.28672,2.33765,0,2.50816,7.13253
6907,2.76966,2.68173,0,2.64015,8.09155
6912,2.388,2.49691,0,2.49386,7.37877
6917,2.6701,2.63901,0,2.65446,7.96356
6922,2.65274,2.57092,0,2.57416,7.79781
6927,2.51484,2.48222,0,2.57416,7.57122
6932,2.63348,2.66609,0,2.57416,7.87373
6937,2.29836,2.39029,0,2.36473,7.05338
6942,2.57416,2.44141,0,2.50778,7.52335
6947,2.29836,2.39658,0,2.48222,7.17716
6952,2.49386,2.51675,0,2.29836,7.30896
6957,2.21672,2.20642,0,2.29836,6.7215
6963,2.56386,2.57416,0,2.5053,7.64332
6968,2.28672,2.29836,0,2.42748,7.01256
6973,2.73247,2.57416,0,2.61803,7.92465
6978,2.41585,2.57416,0,2.37865,7.36866
6983,2.53963,2.48222,0,2.60849,7.63035
6988,2.62032,2.57454,0,2.53925,7.73411
6993,2.41318,2.38876,0,2.44789,7.24983
6998,2.49805,2.54841,0,2.51656,7.56302
7003,2.43187,2.41718,0,2.39029,7.23934
7008,2.39029,2.51827,0,2.48222,7.39079
7013,2.57416,2.44617,0,2.57416,7.59449
7018,2.39029,2.50149,0,2.48222,7.374
7024,2.75803,2.59876,0,2.58427,7.94106
7029,0.919342,1.00212,0,1.00117,2.92263
7034,0,0,0,0,0
7039,0,0,0,0,0
7044,0,0,0,0,0
7049,0,0,0,0,0
7054,0,0,0,0,0
7059,0,0,0,0,0
7064,0,0,0,0,0
7069,0,0,0,0,0
7074,0,0,0,0,0
7079,0,0,0,0,0
7085,0,0,0,0,0
7090,0,0,0,0,0
7095,0,0,0,0,0
7100,0,0,0,0,0
7105,0,0,0,0,0
7110,0,0,0,0,0
7115,0,0,0,0,0
7120,0,0,0,0,0
7125,0,0,0,0,0
7130,0,0,0,0,0
