message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
65536,10737418240,4,2,0,1,0,1,0,0,9982.56,0,0
65536,10737418240,4,2,0,1,0,1,0,0,10079.2,0,0
65536,10737418240,4,2,0,1,0,1,0,0,10080.4,0,0
65536,10737418240,4,2,0,1,0,1,0,0,10168.1,0,0
65536,10737418240,4,2,0,1,0,1,0,0,10582.1,0,0
65536,10737418240,4,2,0,2,0,1,0,0,7673.91,0,0
65536,10737418240,4,2,0,2,0,1,0,0,7699.65,0,0
65536,10737418240,4,2,0,2,0,1,0,0,8319.92,0,0
65536,10737418240,4,2,0,2,0,1,0,0,8221.02,0,0
65536,10737418240,4,2,0,2,0,1,0,0,7760.98,0,0
65536,10737418240,4,2,0,3,0,1,0,0,6840.81,0,0
65536,10737418240,4,2,0,3,0,1,0,0,6621.78,0,0
65536,10737418240,4,2,0,3,0,1,0,0,7217.82,0,0
65536,10737418240,4,2,0,3,0,1,0,0,6776.07,0,0
65536,10737418240,4,2,0,3,0,1,0,0,6501.89,0,0
1048576,10737418240,4,2,0,1,0,1,0,0,10202,0,0
1048576,10737418240,4,2,0,1,0,1,0,0,10278,0,0
1048576,10737418240,4,2,0,1,0,1,0,0,10240.9,0,0
1048576,10737418240,4,2,0,1,0,1,0,0,10562.3,0,0
1048576,10737418240,4,2,0,1,0,1,0,0,10116.8,0,0
1048576,10737418240,4,2,0,2,0,1,0,0,7972.59,0,0
1048576,10737418240,4,2,0,2,0,1,0,0,7905.2,0,0
1048576,10737418240,4,2,0,2,0,1,0,0,7823.41,0,0
1048576,10737418240,4,2,0,2,0,1,0,0,7900.04,0,0
1048576,10737418240,4,2,0,2,0,1,0,0,8217.9,0,0
1048576,10737418240,4,2,0,3,0,1,0,0,6539.68,0,0
1048576,10737418240,4,2,0,3,0,1,0,0,8437.97,0,0
1048576,10737418240,4,2,0,3,0,1,0,0,8021,0,0
1048576,10737418240,4,2,0,3,0,1,0,0,7024.05,0,0
1048576,10737418240,4,2,0,3,0,1,0,0,7485.63,0,0
1024,10737418240,4,0,0,1,0,1,0,0,8705.85,0,0
1024,10737418240,4,0,0,1,0,1,0,0,9166.45,0,0
1024,10737418240,4,0,0,1,0,1,0,0,9568,0,0
1024,10737418240,4,0,0,1,0,1,0,0,7427.16,0,0
1024,10737418240,4,0,0,1,0,1,0,0,9248.55,0,0
1024,10737418240,4,0,0,2,0,1,0,0,6683.48,0,0
1024,10737418240,4,0,0,2,0,1,0,0,7131.87,0,0
1024,10737418240,4,0,0,2,0,1,0,0,7002.89,0,0
1024,10737418240,4,0,0,2,0,1,0,0,7206.35,0,0
1024,10737418240,4,0,0,2,0,1,0,0,6701.15,0,0
1024,10737418240,4,0,0,3,0,1,0,0,3809.33,0,0
1024,10737418240,4,0,0,3,0,1,0,0,6078.98,0,0
1024,10737418240,4,0,0,3,0,1,0,0,6039.17,0,0
1024,10737418240,4,0,0,3,0,1,0,0,6087.08,0,0
1024,10737418240,4,0,0,3,0,1,0,0,6310.65,0,0
